City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,williamsburg,37.2707,-76.7075,300.97,80,75,3.6,US,1723059422
128,green river,41.5286,-109.4662,305.37,21,12,2.68,US,1723059423
129,trail,49.0998,-117.7022,306.47,21,0,0.93,CA,1723059424
130,al qadarif,14.0349,35.3834,298.46,76,99,2.76,SD,1723059426
131,selfoss,63.9331,-20.9971,284.81,86,80,3.71,IS,1723059427
132,chui,-33.6971,-53.4616,287.01,71,100,5.05,UY,1723059428
133,isangel,-19.55,169.2667,293.56,69,84,4.98,VU,1723059430
134,colonia,50.9333,6.95,294.29,78,0,0.51,DE,1723059431
135,camana,-16.6228,-72.7111,288.83,85,100,5.34,PE,1723059432
136,colon,9.3592,-79.9014,301.53,86,100,3.13,PA,1723059434
137,linping,30.4225,120.2972,302.12,78,49,2.28,CN,1723059435
138,kismayo,-0.3582,42.5454,298.02,81,100,7.18,SO,1723059437
139,turpan,42.9333,89.1667,297.47,60,97,5.96,CN,1723059438
140,south lyon,42.4606,-83.6516,299.35,48,22,3.58,US,1723059356
141,puerto ayora,-0.7393,-90.3518,298.13,89,30,3.13,EC,1723059442
142,kulunda,52.566,78.9385,291.03,90,100,2.27,RU,1723059444
143,piti village,13.4626,144.6933,301.18,84,0,0.0,GU,1723059445
144,boone,39.0334,-92.3335,298.59,52,7,3.03,US,1723059446
145,gelemso,8.8167,40.5167,291.29,72,32,1.72,ET,1723059448
146,blackmans bay,-43.0167,147.3167,281.89,79,100,0.45,AU,1723059449
147,yingkou,40.6648,122.2283,298.03,92,90,3.11,CN,1723059451
148,richards bay,-28.783,32.0377,293.04,71,36,7.35,ZA,1723059452
149,weno,7.4515,151.8468,301.12,83,100,2.06,FM,1723059453
150,san luis,-33.295,-66.3356,281.83,38,58,8.83,AR,1723059455
151,novyy urengoy,66.0833,76.6333,284.58,68,100,5.7,RU,1723059456
152,nuku'alofa,-21.1333,-175.2,294.34,68,40,4.63,TO,1723059457
153,verkhnevilyuysk,63.4453,120.3167,280.27,95,59,1.24,RU,1723059459
154,tselinnoye,53.0833,85.6667,289.85,95,100,3.89,RU,1723059460
155,ostersund,63.1792,14.6357,290.4,100,40,5.66,SE,1723059462
156,labrador city,52.9463,-66.9114,285.1,71,100,5.14,CA,1723059463
157,dudinka,69.4058,86.1778,281.87,67,0,7.62,RU,1723059464
158,ierapetra,35.01,25.7353,304.34,36,0,2.24,GR,1723059466
159,puerto deseado,-47.7503,-65.8938,279.25,63,6,7.52,AR,1723059467
160,winnemucca,40.973,-117.7357,307.18,7,0,5.14,US,1723059468
161,luderitz,-26.6481,15.1594,285.79,77,100,3.16,NA,1723059470
162,mil'kovo,55.6078,37.7956,293.34,67,96,2.22,RU,1723059471
163,katsuura,35.1333,140.3,298.55,93,95,0.2,JP,1723059472
164,yeppoon,-23.1333,150.7333,289.03,92,26,5.62,AU,1723059474
165,wum,6.3833,10.0667,291.72,97,100,1.12,CM,1723059475
166,noumea,-22.2763,166.4572,294.26,99,100,4.96,NC,1723059477
167,east london,-33.0153,27.9116,292.89,32,58,2.51,ZA,1723059478
168,malango,-2.9627,119.9001,290.74,99,61,1.03,ID,1723059479
169,benguela,-12.5763,13.4055,293.1,89,54,2.08,AO,1723059481
170,boa vista,2.8197,-60.6733,306.14,52,40,3.09,BR,1723059482
171,enewetak,11.3474,162.3373,301.8,74,44,5.33,MH,1723059485
172,las vegas,36.175,-115.1372,313.77,27,0,7.72,US,1723059486
173,jayapura,-2.5333,140.7,295.81,94,95,2.16,ID,1723059488
174,alofi,-19.0595,-169.9187,294.09,68,75,4.12,NU,1723059489
175,padang,-0.9492,100.3543,299.18,87,100,1.84,ID,1723059490
176,cabo san lucas,22.8909,-109.9124,306.76,70,20,5.66,MX,1723059248
177,scarborough,54.2797,-0.4044,289.63,74,92,2.68,GB,1723059493
178,kerikeri,-35.2268,173.9474,283.28,86,57,1.68,NZ,1723059494
179,iskateley,67.6803,53.1512,279.08,89,10,3.22,RU,1723059496
180,griffith,41.5284,-87.4237,299.9,64,0,6.17,US,1723059497
181,bull savanna,17.8868,-77.5902,302.46,67,100,8.87,JM,1723059498
182,lensk,60.7253,114.9278,286.13,76,12,1.99,RU,1723059500
183,petropavlovsk-kamchatsky,53.0452,158.6483,288.48,88,40,3.0,RU,1723059501
184,tshabong,-26.05,22.45,292.4,19,2,4.23,BW,1723059503
185,georgetown,5.4112,100.3354,301.11,78,20,2.06,MY,1723059504
186,tyazhinskiy,56.116,88.524,287.71,96,84,2.3,RU,1723059505
187,kourou,5.1552,-52.6478,303.18,71,59,4.08,GF,1723059507
188,hluti,-27.2167,31.6167,286.76,78,1,1.54,SZ,1723059508
189,caleta de carquin,-11.0925,-77.6267,291.75,76,36,5.82,PE,1723059509
190,hasaki,35.7333,140.8333,299.37,91,100,1.71,JP,1723059511
191,avarua,-21.2078,-159.775,297.18,64,40,5.66,CK,1723059512
192,la reforma,25.0833,-108.05,305.81,57,69,5.97,MX,1723059513
193,kencong,-8.2833,113.3667,295.01,92,0,1.39,ID,1723059515
194,khandyga,62.6667,135.6,281.5,95,8,1.38,RU,1723059516
195,puerto natales,-51.7236,-72.4875,274.4,80,0,3.6,CL,1723059518
196,bunol,39.4167,-0.7833,300.51,73,0,1.63,ES,1723059519
197,vilhena,-12.7406,-60.1458,296.27,56,0,3.6,BR,1723059521
